Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres
tt1201607,1342321665.0,,PG-13,Warner Bros.,169189427.0,"Adventure,Fantasy,Mystery"
tt1399103,1123794079.0,195000000.0,PG-13,DreamWorks,97852865.0,"Action,Adventure,Sci-Fi"
tt1324999,712205856.0,110000000.0,PG-13,Summit Entertainment,138122261.0,"Adventure,Drama,Fantasy,Romance,Thriller"
tt1411697,586764305.0,80000000.0,R,Warner Bros.,85946294.0,Comedy
tt1298650,1045713802.0,250000000.0,PG-13,Walt Disney Studios Motion Pictures,90151958.0,"Action,Adventure,Fantasy"
tt1596343,626137675.0,125000000.0,PG-13,Universal Pictures,86198765.0,"Action,Adventure,Crime,Thriller"
tt1216475,559852396.0,200000000.0,G,Walt Disney Studios Motion Pictures,66135507.0,"Adventure,Animation,Comedy,Family,Sport"
tt0800369,449326618.0,150000000.0,PG-13,Paramount Pictures,65723338.0,"Action,Adventure,Fantasy"
tt1318514,481800873.0,93000000.0,PG-13,Twentieth Century Fox,54806191.0,"Action,Drama,Sci-Fi,Thriller"
tt0458339,370569774.0,140000000.0,PG-13,Paramount Pictures,65058524.0,"Action,Adventure,Sci-Fi"
tt1454029,216639112.0,25000000.0,PG-13,Walt Disney Studios Motion Pictures,26044590.0,Drama
tt1478338,288383523.0,32500000.0,R,Universal Pictures,26247410.0,"Comedy,Romance"
tt1302011,665692281.0,150000000.0,PG,DreamWorks,47656302.0,"Action,Adventure,Animation,Comedy,Drama,Family,Fantasy"
tt1270798,352616690.0,160000000.0,PG-13,Twentieth Century Fox,55101604.0,"Action,Adventure,Sci-Fi"
tt0448694,554987477.0,130000000.0,PG,DreamWorks,34077439.0,"Adventure,Animation,Comedy,Family,Fantasy"
tt1436562,483866518.0,90000000.0,PG,Twentieth Century Fox,39225962.0,"Adventure,Animation,Comedy,Family,Music,Musical"
tt0472181,563749323.0,110000000.0,PG,Sony Pictures Entertainment (SPE),35611637.0,"Adventure,Animation,Comedy,Family,Fantasy"
tt1650062,260095986.0,50000000.0,PG-13,Paramount Pictures,35451168.0,"Mystery,Sci-Fi,Thriller"
tt1515091,543848418.0,,PG-13,Warner Bros.,39637079.0,"Action,Adventure,Mystery"
tt1192628,245724603.0,135000000.0,PG,Paramount Pictures,38079323.0,"Action,Adventure,Animation,Comedy,Family,Western"
tt1229238,694713380.0,145000000.0,PG-13,Paramount Pictures,12785204.0,"Action,Adventure,Thriller"
tt1504320,427374317.0,15000000.0,R,The Weinstein Company,355450.0,"Biography,Drama,History"
tt1499658,209838559.0,35000000.0,R,Warner Bros.,28302165.0,"Comedy,Crime"
tt1133985,219851172.0,200000000.0,PG-13,Warner Bros.,53174303.0,"Action,Adventure,Sci-Fi"
tt1411704,183954145.0,63000000.0,PG,Universal Pictures,37543710.0,"Adventure,Animation,Comedy,Family,Fantasy"
tt1778304,207039844.0,5000000.0,R,Paramount Pictures,52568183.0,"Horror,Mystery"
tt1564367,214945591.0,80000000.0,PG-13,Sony Pictures Entertainment (SPE),30514732.0,"Comedy,Romance"
tt1403865,252276927.0,38000000.0,PG-13,Paramount Pictures,24830443.0,"Drama,Western"
tt1284575,216197492.0,20000000.0,R,Sony Pictures Entertainment (SPE),31603106.0,"Comedy,Romance"
tt0409847,174822325.0,163000000.0,PG-13,Universal Pictures,36431290.0,"Action,Sci-Fi,Thriller,Western"
tt0377981,193967670.0,,,Walt Disney Studios Motion Pictures,25356909.0,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance"
tt0990407,227817248.0,120000000.0,PG-13,Sony Pictures Entertainment (SPE),33526876.0,"Action,Comedy,Crime"
tt0110357,1063611805.0,45000000.0,G,Walt Disney Studios Motion Pictures,1586753.0,"Adventure,Animation,Drama,Family,Musical"
tt1615918,342695435.0,75000000.0,G,Twentieth Century Fox,23244744.0,"Adventure,Animation,Comedy,Family,Fantasy,Music,Musical"
tt0433035,299268508.0,,PG-13,Walt Disney Studios Motion Pictures,27319677.0,"Action,Drama,Sci-Fi,Sport"
tt1570728,145051197.0,50000000.0,PG-13,Warner Bros.,19104303.0,"Comedy,Drama,Romance"
tt1217613,211819354.0,70000000.0,PG-13,Sony Pictures Entertainment (SPE),35573187.0,"Action,Sci-Fi"
tt1253864,226904017.0,75000000.0,R,Relativity Media,32206425.0,"Action,Drama,Fantasy,Romance"
tt1204342,165184237.0,45000000.0,PG,Walt Disney Studios Motion Pictures,29239026.0,"Adventure,Comedy,Family,Musical"
tt1222817,169852759.0,80000000.0,PG,Sony Pictures Entertainment (SPE),20065617.0,"Comedy,Family,Fantasy,Romance"
tt1219289,161849455.0,27000000.0,PG-13,Relativity Media,18907302.0,"Sci-Fi,Thriller"
tt0471042,152930623.0,75000000.0,PG-13,Universal Pictures,24025190.0,"Action,Comedy,Crime"
tt1598778,136515867.0,60000000.0,PG-13,Warner Bros.,22403596.0,"Drama,Thriller"
tt1210166,110206216.0,50000000.0,PG-13,Sony Pictures Entertainment (SPE),19501302.0,"Biography,Drama,Sport"
tt1702443,99036827.0,13000000.0,,Paramount Pictures,29514054.0,"Documentary,Music"
tt1564349,95943453.0,37000000.0,PG,Warner Bros.,19152401.0,"Drama,Family"
tt0810913,149673788.0,79000000.0,PG,Sony Pictures Entertainment (SPE),25003575.0,Comedy
tt1411238,149228077.0,25000000.0,R,Paramount Pictures,19652921.0,"Comedy,Romance"
tt1396218,187361754.0,55000000.0,PG,Twentieth Century Fox,18445355.0,"Comedy,Family,Fantasy"
tt0947798,329398046.0,13000000.0,R,Fox Searchlight Pictures,1443809.0,"Drama,Thriller"
tt0970866,310650585.0,100000000.0,PG-13,Universal Pictures,30833665.0,"Comedy,Romance"
tt1401152,135710029.0,30000000.0,PG-13,Warner Bros.,21856389.0,"Action,Mystery,Thriller"
tt1385826,127869379.0,50200000.0,PG-13,Universal Pictures,21157730.0,"Romance,Sci-Fi,Thriller"
tt1402488,159197038.0,,PG,Warner Bros.,21237068.0,"Adventure,Animation,Comedy,Family,Music,Musical,Romance"
tt1067583,117094902.0,38000000.0,PG-13,Twentieth Century Fox,16842353.0,"Drama,Romance"
